summary_id,station_id,station_name,climate_zone,date,month,day_of_week,is_weekend,season,temp_min_c,temp_max_c,temp_avg_c,feels_like_min_c,feels_like_max_c,total_precipitation_mm,snow_hours,rain_hours,max_wind_kmh,max_gust_kmh,avg_humidity_pct,max_uv_index,dominant_condition,thunderstorm_occurred,avg_outdoor_suitability,best_outdoor_hour,umbrella_recommended,clothing_morning,clothing_afternoon,clothing_evening,day_summary_text
DAY-00001,WS-001,Sivas Merkez,semi-arid_continental,2025-01-01,1,2,0,winter,-11.3,-0.7,-6.0,-17.2,11.1,7.5,23,0,20.4,35.3,79.0,1.0,snow,0,0.9,16,1,heavy_winter_coat_gloves_hat,light_jacket_or_sweater,warm_jacket_layers,Snow day. Temp -11.3–-0.7°C. Rain 7.5mm. Best time outdoors: 16:00.
DAY-00002,WS-001,Sivas Merkez,semi-arid_continental,2025-01-02,1,3,0,winter,-4.7,6.5,0.8,-10.0,16.8,0,0,0,20.5,33.0,54.2,2.0,clear,0,8.7,6,0,warm_jacket_layers,warm_jacket_layers,winter_coat_scarf_gloves,Clear day. Temp -4.7–6.5°C. Best time outdoors: 6:00.
DAY-00003,WS-001,Sivas Merkez,semi-arid_continental,2025-01-03,1,4,0,winter,-10.2,2.2,-3.9,-17.2,12.2,0,0,0,19.1,36.4,51.8,2.0,clear,0,6.9,10,0,winter_coat_scarf_gloves,warm_jacket_layers,heavy_winter_coat_gloves_hat,Clear day. Temp -10.2–2.2°C. Best time outdoors: 10:00.
DAY-00004,WS-001,Sivas Merkez,semi-arid_continental,2025-01-04,1,5,1,winter,-11.7,0.1,-5.3,-14.7,12.7,0,0,0,13.2,20.5,50.1,2.1,clear,0,6.8,13,0,light_jacket_or_sweater,winter_coat_scarf_gloves,light_jacket_or_sweater,Clear day. Temp -11.7–0.1°C. Best time outdoors: 13:00.
DAY-00005,WS-001,Sivas Merkez,semi-arid_continental,2025-01-05,1,6,1,winter,-12.9,-2.4,-7.8,-17.6,10.9,0,0,0,16.1,26.2,48.4,1.9,clear,0,5.8,9,0,winter_coat_scarf_gloves,light_jacket_or_sweater,heavy_winter_coat_gloves_hat,Clear day. Temp -12.9–-2.4°C. Best time outdoors: 9:00.
DAY-00006,WS-001,Sivas Merkez,semi-arid_continental,2025-01-06,1,0,0,winter,-12.1,-0.4,-6.0,-15.6,11.8,0,0,0,13.3,23.1,51.0,1.9,clear,0,6.5,9,0,winter_coat_scarf_gloves,light_jacket_or_sweater,warm_jacket_layers,Clear day. Temp -12.1–-0.4°C. Best time outdoors: 9:00.
DAY-00007,WS-001,Sivas Merkez,semi-arid_continental,2025-01-07,1,1,0,winter,-8.2,3.7,-1.5,-12.4,15.4,20.5,14,9,16.1,25.2,73.7,1.0,snow,0,3.0,11,1,winter_coat_scarf_gloves,warm_jacket_layers,winter_coat_scarf_gloves,Snow day. Temp -8.2–3.7°C. Rain 20.5mm. Best time outdoors: 11:00.
DAY-00008,WS-001,Sivas Merkez,semi-arid_continental,2025-01-08,1,2,0,winter,-17.9,-6.4,-12.4,-24.7,6.3,0,0,0,16.3,25.4,52.7,2.1,clear,0,4.9,6,0,warm_jacket_layers,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,Clear day. Temp -17.9–-6.4°C. Best time outdoors: 6:00.
DAY-00009,WS-001,Sivas Merkez,semi-arid_continental,2025-01-09,1,3,0,winter,-13.3,-1.4,-7.1,-18.2,-2.9,0,0,0,15.6,26.5,49.4,2.0,clear,0,6.0,9,0,heavy_winter_coat_gloves_hat,winter_coat_scarf_gloves,heavy_winter_coat_gloves_hat,Clear day. Temp -13.3–-1.4°C. Best time outdoors: 9:00.
DAY-00010,WS-001,Sivas Merkez,semi-arid_continental,2025-01-10,1,4,0,winter,-16.2,-3.4,-10.3,-22.6,6.3,0,0,0,15.7,23.8,52.9,1.9,clear,0,5.2,7,0,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,heavy_winter_coat_gloves_hat,Clear day. Temp -16.2–-3.4°C. Best time outdoors: 7:00.
