forecast_id,station_id,target_timestamp,lead_time_hours,forecast_issued_at,forecasted_temp_c,forecasted_precip_mm,forecasted_wind_kmh,forecasted_condition,forecasted_umbrella,forecasted_clothing,actual_temp_c,actual_precip_mm,actual_wind_kmh,actual_condition,actual_umbrella,actual_clothing,temp_error_c,precip_error_mm,wind_error_kmh,umbrella_correct,clothing_correct,condition_correct
FCST-000001,WS-001,2025-03-14 00:00:00,3,2025-03-13 21:00:00,-11.3,0,12.6,clear,0,heavy_winter_coat_gloves_hat,-12.1,0,12.0,clear,0,heavy_winter_coat_gloves_hat,0.8,0,0.6,1,1,1
FCST-000002,WS-001,2025-03-14 01:00:00,12,2025-03-13 13:00:00,-16.4,0,13.6,clear,0,heavy_winter_coat_gloves_hat,-12.5,0,4.7,clear,0,heavy_winter_coat_gloves_hat,-3.9,0,8.9,1,1,1
FCST-000003,WS-001,2025-03-14 02:00:00,1,2025-03-14 01:00:00,-11.0,0,4.2,clear,0,heavy_winter_coat_gloves_hat,-11.2,0,4.6,clear,0,heavy_winter_coat_gloves_hat,0.2,0,-0.4,1,1,1
FCST-000004,WS-001,2025-03-14 03:00:00,24,2025-03-13 03:00:00,-6.1,0.9,0,fog,0,light_jacket_or_sweater,-9.7,0,22.1,clear,0,heavy_winter_coat_gloves_hat,3.6,0.9,-22.1,1,0,0
FCST-000005,WS-001,2025-03-14 04:00:00,6,2025-03-13 22:00:00,-8.5,0.5,1.8,clear,0,winter_coat_scarf_gloves,-7.7,0,2.6,clear,0,winter_coat_scarf_gloves,-0.8,0.5,-0.8,1,1,1
FCST-000006,WS-001,2025-03-14 05:00:00,6,2025-03-13 23:00:00,-7.7,0.6,10.0,clear,0,heavy_winter_coat_gloves_hat,-8.7,0,7.1,clear,0,heavy_winter_coat_gloves_hat,1.0,0.6,2.9,1,1,1
FCST-000007,WS-001,2025-03-14 06:00:00,1,2025-03-14 05:00:00,-4.2,0.0,0,clear,0,light_jacket_or_sweater,-4.2,0,0,clear,0,light_jacket_or_sweater,0.0,0.0,0,1,1,1
FCST-000008,WS-001,2025-03-14 07:00:00,6,2025-03-14 01:00:00,-3.6,0.4,0,clear,0,light_jacket_or_sweater,-4.4,0,0.8,clear,0,winter_coat_scarf_gloves,0.8,0.4,-0.8,1,0,1
FCST-000009,WS-001,2025-03-14 08:00:00,1,2025-03-14 07:00:00,-3.2,0.0,1.9,clear,0,winter_coat_scarf_gloves,-3.3,0,2.4,clear,0,winter_coat_scarf_gloves,0.1,0.0,-0.5,1,1,1
FCST-000010,WS-001,2025-03-14 09:00:00,3,2025-03-14 06:00:00,-5.2,0.0,17.3,clear,0,heavy_winter_coat_gloves_hat,-3.9,0,16.6,clear,0,winter_coat_scarf_gloves,-1.3,0.0,0.7,1,0,1
FCST-000011,WS-001,2025-03-14 10:00:00,12,2025-03-13 22:00:00,-2.4,0.0,8.6,clear,0,winter_coat_scarf_gloves,-1.1,0,15.0,clear,0,winter_coat_scarf_gloves,-1.3,0.0,-6.4,1,1,1
FCST-000012,WS-001,2025-03-14 11:00:00,3,2025-03-14 08:00:00,1.1,0.1,4.6,clear,0,winter_coat_scarf_gloves,0.0,0,3.3,clear,0,winter_coat_scarf_gloves,1.1,0.1,1.3,1,1,1
FCST-000013,WS-001,2025-03-14 12:00:00,3,2025-03-14 09:00:00,-2.3,0,6.0,clear,0,winter_coat_scarf_gloves,-1.0,0,7.3,clear,0,winter_coat_scarf_gloves,-1.3,0,-1.3,1,1,1
FCST-000014,WS-001,2025-03-14 13:00:00,3,2025-03-14 10:00:00,-1.1,0.1,19.6,clear,0,winter_coat_scarf_gloves,-1.5,0,19.3,clear,0,winter_coat_scarf_gloves,0.4,0.1,0.3,1,1,1
FCST-000015,WS-001,2025-03-14 14:00:00,1,2025-03-14 13:00:00,-1.2,0.1,11.3,clear,0,winter_coat_scarf_gloves,-1.3,0,11.0,clear,0,winter_coat_scarf_gloves,0.1,0.1,0.3,1,1,1
FCST-000016,WS-001,2025-03-14 15:00:00,24,2025-03-13 15:00:00,-5.6,0,5.6,clear,0,winter_coat_scarf_gloves,-3.2,0,11.3,clear,0,winter_coat_scarf_gloves,-2.4,0,-5.7,1,1,1
FCST-000017,WS-001,2025-03-14 16:00:00,3,2025-03-14 13:00:00,-4.5,0,19.4,clear,0,heavy_winter_coat_gloves_hat,-4.6,0,20.8,clear,0,heavy_winter_coat_gloves_hat,0.1,0,-1.4,1,1,1
FCST-000018,WS-001,2025-03-14 17:00:00,1,2025-03-14 16:00:00,-4.8,0,12.1,clear,0,winter_coat_scarf_gloves,-4.8,0,13.0,clear,0,winter_coat_scarf_gloves,0.0,0,-0.9,1,1,1
FCST-000019,WS-001,2025-03-14 18:00:00,24,2025-03-13 18:00:00,-11.1,0,7.7,heavy_rain,1,heavy_winter_coat_gloves_hat,-6.2,0,3.8,clear,0,winter_coat_scarf_gloves,-4.9,0,3.9,0,0,0
FCST-000020,WS-001,2025-03-14 19:00:00,1,2025-03-14 18:00:00,-7.4,0.1,0,clear,0,light_jacket_or_sweater,-7.5,0,0,clear,0,light_jacket_or_sweater,0.1,0.1,0,1,1,1
FCST-000021,WS-001,2025-03-14 20:00:00,6,2025-03-14 14:00:00,-10.8,0,7.7,clear,0,heavy_winter_coat_gloves_hat,-8.8,0,9.0,clear,0,heavy_winter_coat_gloves_hat,-2.0,0,-1.3,1,1,1
FCST-000022,WS-001,2025-03-14 21:00:00,1,2025-03-14 20:00:00,-10.8,0,12.4,clear,0,heavy_winter_coat_gloves_hat,-11.2,0,12.3,clear,0,heavy_winter_coat_gloves_hat,0.4,0,0.1,1,1,1
FCST-000023,WS-001,2025-03-14 22:00:00,6,2025-03-14 16:00:00,-11.1,0,8.7,clear,0,heavy_winter_coat_gloves_hat,-10.9,0,6.0,clear,0,heavy_winter_coat_gloves_hat,-0.2,0,2.7,1,1,1
